scheme_code,scheme_name,Risk,mf_category,mf_sub_category,fund_name
100033, Aditya Birla Sun Life Equity Advantage Fund - Regular Growth,Moderate,Equity Scheme,Large & Mid Cap,Aditya Birla Sun Life Equity Advantage Fund
100034, Aditya Birla Sun Life Equity Advantage Fund -Regular - IDCW,Moderate,Equity Scheme,Large & Mid Cap,Aditya Birla Sun Life Equity Advantage Fund
100037, Aditya Birla Sun Life Income Fund - Regular - Quarterly IDCW,Low to Moderate,Debt Scheme,Medium to Long Duration,Aditya Birla Sun Life Income Fund
100038, Aditya Birla Sun Life Income Fund - Growth - Regular Plan,Moderately High,Debt Scheme,Medium to Long Duration,Aditya Birla Sun Life Income Fund
100041, Aditya Birla Sun Life Liquid Fund -Institutional - IDCW,Moderately High,Debt Scheme,Liquid,Aditya Birla Sun Life Liquid Fund
100042, Aditya Birla Sun Life Liquid Fund-Retail (Growth),Low to Moderate,Debt Scheme,Liquid,Aditya Birla Sun Life Liquid Fund
100043, Aditya Birla Sun Life Liquid Fund-Institutional (Growth),Moderately High,Debt Scheme,Liquid,Aditya Birla Sun Life Liquid Fund
100044, Aditya Birla Sun Life Liquid Fund -Retail - IDCW,Low to Moderate,Debt Scheme,Liquid,Aditya Birla Sun Life Liquid Fund
100046, Aditya Birla Sun Life Liquid Fund -Daily IDCW,Moderate,Debt Scheme,Liquid,Aditya Birla Sun Life Liquid Fund
100047, Aditya Birla Sun Life Liquid Fund - Growth,Moderately High,Debt Scheme,Liquid,Aditya Birla Sun Life Liquid Fund
100048, Aditya Birla Sun Life Liquid Fund -Institutional - weekly  IDCW,High,Debt Scheme,Liquid,Aditya Birla Sun Life Liquid Fund
100051, Aditya Birla Sun Life Liquid Fund -weekly IDCW,Very High,Debt Scheme,Liquid,Aditya Birla Sun Life Liquid Fund
100057, Aditya Birla Sun Life Govenment Securities Fund -Regular - Quarterly IDCW,Very High,Debt Scheme,Gilt,Aditya Birla Sun Life Govenment Securities Fund
100058, Aditya Birla Sun Life Government Securities Fund  - Growth - Regular Plan,Low to Moderate,Debt Scheme,Gilt,Aditya Birla Sun Life Government Securities Fund
100063, Aditya Birla Sun Life MNC Fund - Regular - IDCW,Very High,Others,Others,Aditya Birla Sun Life MNC Fund
100064, Aditya Birla Sun Life MNC Fund - Growth - Regular Plan,Low to Moderate,Others,Others,Aditya Birla Sun Life MNC Fund
100067, Aditya Birla Sun Life Tax Plan -Regular - IDCW,Moderate,Equity Scheme,ELSS,Aditya Birla Sun Life Tax Plan
100119, HDFC Balanced Advantage Fund - Growth Plan,Low,Hybrid Scheme,Multi Asset Allocation,HDFC Balanced Advantage Fund
100120, HDFC Balanced Advantage Fund - IDCW Plan,Low to Moderate,Hybrid Scheme,Multi Asset Allocation,HDFC Balanced Advantage Fund
100123, HDFC Income Fund - Quarterly IDCW Option,Moderately High,Debt Scheme,Medium to Long Duration,HDFC Income Fund
100124, HDFC Income Fund - Growth Option,Low to Moderate,Debt Scheme,Medium to Long Duration,HDFC Income Fund
100152, Principal Nifty 100 Equal Weight Fund-Income Distribution CUM Capital Withdrawal,Moderate,Other Scheme,Indexs/ETFs,Principal Nifty 100 Equal Weight Fund
100153, Principal Nifty 100 Equal Weight Fund-Growth,Low to Moderate,Other Scheme,Indexs/ETFs,Principal Nifty 100 Equal Weight Fund
100156, Principal Tax Savings Fund,High,Equity Scheme,ELSS,Principal Tax Savings Fund
100174, quant Tax Plan - IDCW Option - Regular Plan,Low to Moderate,Equity Scheme,ELSS,quant Tax Plan
100175, quant Tax Plan - Growth Option - Regular Plan,Low to Moderate,Equity Scheme,ELSS,quant Tax Plan
100176, quant Small Cap Fund - IDCW Option - Regular Plan,Moderate,Equity Scheme,Small Cap,quant Small Cap Fund
100177, quant Small Cap Fund - Growth - Regular Plan,Very High,Equity Scheme,Small Cap,quant Small Cap Fund
100218, JM Large Cap Fund (Regular) - IDCW ,Moderate,Equity Scheme,Large Cap,JM Large Cap Fund (Regular)
100219, JM Large Cap Fund (Regular) - Growth Option,High,Equity Scheme,Large Cap,JM Large Cap Fund (Regular)
100220, JM Equity Hybrid Fund (Regular) - IDCW ,Low to Moderate,Hybrid Scheme,Aggressive Hybrid,JM Equity Hybrid Fund (Regular)
100221, JM Equity Hybrid Fund (Regular) -Growth Option,Low to Moderate,Hybrid Scheme,Aggressive Hybrid,JM Equity Hybrid Fund (Regular)
100222, JM Income Fund (Regular) - Quarterly IDCW ,High,Debt Scheme,Medium to Long Duration,JM Income Fund (Regular)
100223, JM Income Fund (Regular) - Growth Option,Low to Moderate,Debt Scheme,Medium to Long Duration,JM Income Fund (Regular)
100233, JM Liquid Fund (Regular) - Weekly IDCW,High,Debt Scheme,Liquid,JM Liquid Fund (Regular)
100234, JM Liquid Fund - Growth Option,Moderate,Debt Scheme,Liquid,JM Liquid Fund
100244, JM Liquid Fund (Regular) - Quarterly IDCW,Moderate,Debt Scheme,Liquid,JM Liquid Fund (Regular)
100247, JM Liquid Fund (Regular) - Super Institutional Plan - Growth Option,High,Debt Scheme,Liquid,JM Liquid Fund (Regular)
100254, JM Value Fund (Regular) - Growth Option,Moderate,Equity Scheme,Value,JM Value Fund (Regular)
100348, ICICI Prudential Large & Mid Cap Fund - IDCW,Very High,Equity Scheme,Large & Mid Cap,ICICI Prudential Large & Mid Cap Fund
100349, ICICI Prudential Large & Mid Cap Fund - Growth,Moderately High,Equity Scheme,Large & Mid Cap,ICICI Prudential Large & Mid Cap Fund
100351, ICICI Prudential FMCG Fund - IDCW,Low to Moderate,Others,Others,ICICI Prudential FMCG Fund
100352, ICICI Prudential FMCG Fund - Growth,Very High,Others,Others,ICICI Prudential FMCG Fund
100353, ICICI Prudential Long Term Equity Fund (Tax Saving)- IDCW,Very High,Equity Scheme,ELSS,ICICI Prudential Long Term Equity Fund (Tax Saving)
100354, ICICI Prudential Long Term Equity Fund (Tax Saving) - Growth,Moderately High,Equity Scheme,ELSS,ICICI Prudential Long Term Equity Fund (Tax Saving)
100355, ICICI Prudential Equity & Debt Fund - Monthly IDCW,Moderate,Hybrid Scheme,Aggressive Hybrid,ICICI Prudential Equity & Debt Fund
100356, ICICI Prudential Equity & Debt Fund - Growth,Low to Moderate,Hybrid Scheme,Aggressive Hybrid,ICICI Prudential Equity & Debt Fund
100357, ICICI Prudential Liquid Fund -Quarterly IDCW,Low to Moderate,Debt Scheme,Liquid,ICICI Prudential Liquid Fund
100359, ICICI Prudential Liquid Institutional Plus Fund - Div - Daily,Moderately High,Debt Scheme,Liquid,ICICI Prudential Liquid Institutional Plus Fund
100363, ICICI Prudential Technology Fund - Growth,Very High,Others,Others,ICICI Prudential Technology Fund
100364, ICICI Prudential Long Term Bond Fund - Half Yearly IDCW,Moderate,Debt Scheme,Long Duration,ICICI Prudential Long Term Bond Fund
100365, ICICI Prudential Long Term Bond Fund - Growth,Moderate,Debt Scheme,Long Duration,ICICI Prudential Long Term Bond Fund
100366, ICICI Prudential Long Term Bond Fund-Institutional Quarterly Dividend,Moderately High,Debt Scheme,Long Duration,ICICI Prudential Long Term Bond Fund
100367, ICICI Prudential Long Term Bond Fund - Quarterly IDCW,Moderately High,Debt Scheme,Long Duration,ICICI Prudential Long Term Bond Fund
100368, ICICI Prudential Gilt Fund - IDCW,Very High,Debt Scheme,Gilt,ICICI Prudential Gilt Fund
100369, ICICI Prudential Gilt Fund - Growth,Low to Moderate,Debt Scheme,Gilt,ICICI Prudential Gilt Fund
100370, ICICI Prudential Short Term Gilt Fund - Dividend,Low to Moderate,Others,Others,ICICI Prudential Short Term Gilt Fund
100371, ICICI Prudential Short Term Gilt Fund - Growth,Low,Others,Others,ICICI Prudential Short Term Gilt Fund
100372, ICICI Prudential Short Term Gilt Fund - Half Yearly Dividend,Low to Moderate,Others,Others,ICICI Prudential Short Term Gilt Fund
100375, NIPPON INDIA GROWTH FUND - IDCW Option,Low to Moderate,Equity Scheme,Mid Cap,NIPPON INDIA GROWTH FUND
100376, Nippon India Growth Fund-Growth Plan-Bonus Option,Moderate,Equity Scheme,Mid Cap,Nippon India Growth Fund
100377, Nippon India Growth Fund-Growth Plan-Growth Option,Very High,Equity Scheme,Mid Cap,Nippon India Growth Fund
