member_id,mf_id
702019,148699
864877,103637
1061894,139583
718339,106217
407280,127379
1033044,148154
694927,120622
1039345,129186
734832,145071
1222360,134335
914571,119826
1189690,118192
1080864,124508
409955,123689
1274540,122609
607165,141061
415837,133254
1039024,147590
659619,146561
1298717,120494
1201963,147623
895972,141014
1011886,133379
408543,148592
996434,108466
840187,145337
828113,142878
353487,126990
1044115,147912
357110,108847
1277297,141176
1284927,132990
902889,118022
772012,134876
865682,118427
1097284,127052
769422,144294
695697,127628
866861,133365
921051,140769
912324,135766
822935,143532
732243,133840
945376,120157
1215562,129452
634404,120601
352581,129680
1266447,125718
445215,120689
589833,139820
887747,135182
1259665,140975
1069550,135864
662380,133635
772543,144650
1045652,147962
805502,148049
867541,124962
1211268,130805
950687,120376
824468,118571
943094,147781
542970,140696
926806,123395
1218564,144192
1047720,130629
847488,116670
935526,119995
1198246,148285
740264,101262
990036,135142
729818,100678
969381,128919
1052148,146742
982435,140128
1047576,111795
872455,117867
1098696,124176
1043707,141869
614364,123153
597508,105436
674197,100219
719001,146733
797656,119458
1016573,118549
749435,126777
559037,113055
508436,113296
945404,132930
373996,142544
1262716,144525
1036324,120794
1010902,136512
720567,144756
1028618,144640
893860,146230
1201574,145032
360079,101617
1253604,141173
809452,121096
704836,116933
1272369,144569
1192083,112293
982577,147433
564346,120133
707968,143733
903955,129574
939384,141487
958643,120267
1258070,104331
710612,126903
437833,130433
299283,142412
799034,101844
1211577,140002
979116,119714
1074192,126395
786732,118532
939711,108220
667356,101804
447322,139701
754593,140192
611111,146111
1048500,128819
963477,101244
745607,108650
1081704,134547
1035270,122702
1001228,126125
1070714,101751
911288,124843
585264,142405
571308,112293
938383,133566
699176,138254
548892,146088
1210113,139736
552604,143377
887985,115117
575832,112082
681693,144832
1049091,133402
782107,117770
1263406,141572
762531,125527
1279645,145083
707594,120244
1265732,144558
1075389,112093
1212073,127042
1028718,147391
879479,133401
804097,144892
1260080,123405
726933,145322
621459,148122
507639,147561
893938,128916
1049091,146708
750210,125078
992223,123282
608861,143577
773525,148483
439775,119553
125654,144564
882405,125146
723717,139763
630379,102941
1205495,120398
528129,118741
760342,123352
1246252,145298
1244659,148942
739541,147634
775753,148182
784946,147563
786194,101317
1030739,129453
632762,145941
1098410,141011
768236,141200
678578,147868
1208989,143350
798545,145529
734576,140125
1215889,147290
421789,104681
640196,115882
731871,145665
944945,148617
840687,148439
856141,119483
1222008,118801
849535,147533
695203,134884
823839,146239
1298948,119120
792425,108844
1019782,128915
729248,145969
688882,111717
991956,132861
905762,118274
398181,132186
1228161,148965
1003548,146427
1004800,120302
710612,147463
789549,141880
805500,139768
959722,142567
852822,105561
1303701,139763
1232192,139269
983379,138254
1239717,136002
1228992,144797
1064045,125971
1107731,133577
875180,118909
992703,144016
1227426,145042
634142,134922
1014843,145843
397219,111744
630046,145866
671028,120483
530011,141005
642324,146672
720420,134015
633488,140442
524467,131600
1041723,113544
973902,135653
653271,148279
1048909,134502
600093,102451
660958,139313
1157875,140647
742740,139544
698540,101295
1258596,118904
902204,125500
900998,144732
1201267,143367
822769,140226
546916,118449
763661,148593
1204890,119796
1186845,125038
781592,110556
982002,143781
845085,148517
1104595,120811
1265125,120508
613785,133409
766882,148427
1266711,145498
1195796,146170
426618,146370
1247052,109371
735138,102208
1248329,142692
634826,127851
1044923,141388
814378,126143
1076852,120955
1036588,133787
358736,146081
1059200,123408
1214678,146007
705699,101222
1078853,136388
1099454,141781
856744,129418
906476,119992
1069269,119629
1298624,100865
971087,139590
788369,147759
1049624,115676
884903,121412
1303432,119551
677286,139255
468261,145605
1093833,135812
510975,120357
902703,146951
795220,123635
843109,118782
965069,147806
537910,144738
957009,136048
1277660,135122
844338,146666
927783,142194
650279,139146
1193734,125992
862295,143305
1268396,142812
438039,141810
638489,112646
1053498,147431
837430,148133
385363,120350
992426,138427
663686,141897
941611,125003
1081917,146104
370283,113055
950092,124772
1268219,148143
1088334,145774
1196316,118383
824712,128958
760021,144040
963578,149040
1302869,121931
788132,144958
658604,100480
1260774,127556
1194375,138568
845145,139312
871180,118841
1282432,107704
846769,101800
846862,139582
387702,107228
628786,101358
517221,145766
923775,143345
868709,149129
642324,118616
365225,142264
674322,148247
1240726,145603
687048,118456
1075638,140956
538861,134573
154129,148314
1077447,127068
605086,144769
1104595,140805
628279,111549
832739,120841
836209,135011
833643,119754
791062,119825
826908,135544
367763,147973
1270153,111722
1210956,123208
666449,140703
1030374,115398
361806,122152
815950,142634
612353,142004
1028016,105758
1110957,145683
898423,130533
822463,101752
1293130,145321
1121829,148328
559662,133216
647872,139947
694189,130440
1211888,142170
583426,145164
1092291,117601
1207688,129172
610299,113179
575138,103216
709958,139990
727508,134341
1289775,120494
664174,142192
1215683,118473
1095714,145960
1091408,139768
752034,145237
1187864,147512
959414,125873
1270196,102510
585302,139995
728519,138444
1215889,119285
371978,124594
1072249,127523
644656,139539
766695,100233
822723,147142
696343,146768
1267549,130439
596213,141565
900369,124718
644501,145426
801529,144161
1097471,118718
1229814,118278
845559,139309
1009493,111546
503349,119773
884988,108220
521662,143162
1238393,146046
784570,118306
989351,142191
1299343,140807
1058813,148747
1088056,124842
466753,141426
701393,119582
684739,143496
798441,133371
731355,143030
787334,140650
700240,129685
648737,143342
1009045,136330
1018612,141755
737892,123528
696613,134290
988809,106316
1048966,142110
829885,141881
1018541,119019
951552,118222
799049,118396
740343,113144
613612,147734
1255488,138316
424186,142359
901870,146669
1098342,132794
593390,141161
1186855,130145
605708,102672
929878,147667
1234299,129458
1271461,141521
1290022,142122
786657,106841
924006,145021
717065,119353
707866,118468
227948,143904
424105,148130
363658,128804
902663,119987
1087599,124650
700187,143822
751943,123451
330765,138344
952894,141313
709149,145601
514867,135789
1252946,131057
996737,118654
569499,148918
719153,128792
1157188,120317
1288411,100417
1032254,128058
959422,145851
1189546,100950
818031,148125
623786,141474
654800,131016
598126,143632
1074197,126406
1095706,120681
1232989,145720
517115,148757
768511,145491
1054895,133389
1269197,118680
748286,135087
406779,144977
528605,138476
1283811,141781
700475,119083
603464,128609
909962,101803
965375,134311
525908,148961
501913,140182
595710,129625
918022,107071
1076594,103883
856819,128868
631800,128904
1260505,140417
590081,148694
1228477,145410
559524,139112
749094,139342
1284971,146156
409975,100830
1056160,145238
858579,129471
917864,147579
636082,125004
771505,118464
456258,120819
760370,149089
788035,142664
1045690,141894
1293780,147866
440692,105274
663372,123455
997084,126898
390712,146328
667257,135336
993832,147483
944237,147589
376302,142626
1065116,147521
896139,147965
496900,146149
